29951,제꺼덕제꺼덕-하다,동사,크고 단단한 물건이 가볍게 빨리 자꾸 맞부딪치거나 부러지는 소리가 나다. 또는 그런 소리를 내다.,"준말 제꺽제꺽-하다
비슷한말 제꺼덕-거리다, 제꺼덕-대다
참고 어휘 재까닥재까닥-하다, 쩨꺼덕쩨꺼덕-하다"
29952,제꺼덕-하다,동사,크고 단단한 물건이 가볍게 빨리 맞부딪치거나 부러지는 소리가 나다. 또는 그런 소리를 내다.,"준말 제꺽-하다
참고 어휘 재까닥-하다, 쩨꺼덕-하다"
29957,제꺽-거리다,동사,시계 따위의 톱니바퀴가 돌아가는 소리가 자꾸 나다.,"비슷한말 제꺽-대다, 제꺽제꺽-하다"
29959,제꺽-대다,동사,시계 따위의 톱니바퀴가 돌아가는 소리가 자꾸 나다.,비슷한말 제꺽-거리다
29964,제꺽제꺽-하다,동사,시계 따위의 톱니바퀴가 자꾸 돌아가는 소리가 나다.,비슷한말 제꺽-거리다
29966,제꺽-하다,동사,시계 따위의 톱니바퀴가 한 번 돌아가는 소리가 나다.,
29981,제꽃가루받이-하다,동사,동일한 유전자를 가진 꽃의 꽃가루가 스스로 암술머리에 붙어 열매나 씨를 맺다.,
30368,제도화-하다,동사,제도로 되다. 또는 그렇게 만들다.,
30809,제먹이-끼다,동사,농촌에서 일꾼을 쓰면서 밥을 주지 않고 품삯에 밥값을 쳐서 주다.,
30898,제물땜-하다,동사,깨어진 쇠붙이 그릇에 덧조각을 대지 않고 같은 쇠붙이를 녹여서 붙이다.,
31216,제비뽑기-하다,동사,제비를 만들어 승부나 차례를 정하다.,
31442,제살이-하다,동사,남에게 의지하지 않고 자기 힘으로 살아가다.,
31789,제소리-하다,동사,본심에서 나오는 말을 하다.,
32636,제웅놀음-하다,동사,"예전에, 아이들이 제웅을 가지고 노는 놀이를 하다.",
32640,제웅치기-하다,동사,"악성(惡星)인 나후를 상징하는 짚 인형을 만들고 그 머리에 동전을 넣어 상원(上元) 전날 초저녁에 길에 버리면, 아이들이 그 머리를 다투어 부수어 동전을 꺼내고 몸뚱이를 땅에 두드리는 일을 하다. 세시 풍속의 하나로 액풀이를 위하여 한다.",비슷한말 타추희-하다(打芻戲하다)
33576,제잡이-하다,동사,스스로 자기 자신을 망치다.,
34295,제치다,동사,거치적거리지 않게 처리하다.,
34334,제키다,동사,살갗이 조금 다쳐서 벗어지다.,
35093,젠체-하다,동사,잘난 체하다.,
35272,젱겅-거리다,동사,얇고 조금 무거운 쇠붙이나 유리 따위가 떨어지거나 부딪쳐 맑게 울리는 소리가 자꾸 나다. 또는 그런 소리를 자꾸 내다.,"비슷한말 젱겅-대다, 젱겅젱겅-하다"
35273,젱겅-대다,동사,얇고 조금 무거운 쇠붙이나 유리 따위가 떨어지거나 부딪쳐 맑게 울리는 소리가 자꾸 나다. 또는 그런 소리를 자꾸 내다.,비슷한말 젱겅-거리다
35275,젱겅젱겅-하다,동사,얇고 조금 무거운 쇠붙이나 유리 따위가 자꾸 떨어지거나 부딪쳐 맑게 울리는 소리가 나다. 또는 그런 소리를 내다.,비슷한말 젱겅-거리다
35276,젱겅-하다,동사,얇고 조금 무거운 쇠붙이나 유리 따위가 떨어지거나 부딪쳐 맑게 울리는 소리가 나다. 또는 그런 소리를 내다.,
35280,젱그렁-거리다,동사,얇은 쇠붙이나 유리 따위가 떨어지거나 부딪쳐 울리는 소리가 자꾸 나다. 또는 그런 소리를 자꾸 내다.,"비슷한말 젱그렁-대다, 젱그렁젱그렁-하다"
35281,젱그렁-대다,동사,얇은 쇠붙이나 유리 따위가 떨어지거나 부딪쳐 울리는 소리가 자꾸 나다. 또는 그런 소리를 자꾸 내다.,비슷한말 젱그렁-거리다
35283,젱그렁젱그렁-하다,동사,얇은 쇠붙이나 유리 따위가 자꾸 떨어지거나 부딪쳐 울리는 소리가 나다. 또는 그런 소리를 내다.,비슷한말 젱그렁-거리다
35284,젱그렁-하다,동사,얇은 쇠붙이나 유리 따위가 떨어지거나 부딪쳐 울리는 소리가 나다. 또는 그런 소리를 내다.,
35542,조각-나다,동사,깨어지거나 갈라져서 여러 조각이 되다.,
35547,조각-내다,동사,깨거나 갈라서 여러 조각을 만들다.,
35759,조개뜨기-하다,동사,"코바늘뜨기에서, 조가비꼴의 무늬를 내다.",
36760,조다,동사,정 따위로 쪼아 울퉁불퉁한 것을 고르게 다듬다.,
36765,조다짐-하다,동사,(속되게) 조밥을 먹다.,
37012,조라-떨다,동사,일을 망치도록 경망스럽게 굴다.,
37097,조러다,동사,조렇게 말하다.,"참고 어휘 고러다, 그러다, 요러다, 이러다, 저러다"
37104,조러조러다,동사,다 조렇게 하거나 잇따라 조렇게 하다.,"참고 어휘 고러고러다, 그러그러다, 요러요러다, 이러이러다, 저러저러다"
37265,조록조록-하다,동사,가는 물줄기나 빗물 따위가 빠르게 자꾸 흐르거나 내리는 소리가 나다.,
37267,조록-하다,동사,가는 물줄기나 빗물 따위가 빠르게 잠깐 흐르다가 그치는 소리가 나다.,
37417,조르다,동사,동이거나 감은 것을 단단히 죄다.,
37437,조르르-하다,동사,가는 물줄기 따위가 빠르게 흘러내리는 소리가 나다.,
37445,조르륵-거리다,동사,가는 물줄기 따위가 빠르게 흐르다가 그치는 소리가 자꾸 나다.,"비슷한말 조르륵-대다, 조르륵조르륵-하다"
37448,조르륵-대다,동사,가는 물줄기 따위가 빠르게 흐르다가 그치는 소리가 자꾸 나다.,비슷한말 조르륵-거리다
37454,조르륵조르륵-하다,동사,가는 물줄기 따위가 빠르게 자꾸 흘렀다 그쳤다 하는 소리가 나다.,비슷한말 조르륵-거리다
37457,조르륵-하다,동사,가는 물줄기 따위가 빠르게 잠깐 흐르다가 그치는 소리가 나다.,
37510,조리다,동사,"양념을 한 고기나 생선, 채소 따위를 국물에 넣고 바짝 끓여서 양념이 배어들게 하다.",
37520,조리-돌리다,동사,죄를 지은 사람을 벌하기 위하여 끌고 돌아다니면서 망신을 시키다.,
37522,조리-되다,동사,조렇게 되다.,
37569,조리차-하다,동사,알뜰하게 아껴 쓰다.,
37574,조리-치다,동사,졸음이 올 때에 잠깐 졸고 깨다.,
37577,조리-하다,동사,조렇게 하다.,준말 조러다
37726,조릿-거리다,동사,자꾸 조바심이 나서 마음을 놓지 못하다.,"비슷한말 조릿-대다, 조릿조릿-하다"
37728,조릿-대다,동사,자꾸 조바심이 나서 마음을 놓지 못하다.,비슷한말 조릿-거리다
37731,조릿조릿-하다,동사,마음을 놓을 수 없게 조바심이 나다.,비슷한말 조릿-거리다
37743,조마-거리다,동사,닥쳐올 일에 대하여 자꾸 마음이 초조하고 불안하여지다. 또는 그렇게 하다.,
38039,조몰락-거리다,동사,작은 동작으로 물건 따위를 자꾸 주무르다.,"비슷한말 조몰락-대다, 조몰락조몰락-하다
참고 어휘 주물럭-거리다"
38040,조몰락-대다,동사,작은 동작으로 물건 따위를 자꾸 주무르다.,비슷한말 조몰락-거리다
38042,조몰락조몰락-하다,동사,자꾸 작은 동작으로 물건 따위를 주무르다.,비슷한말 조몰락-거리다
38110,조물조물-하다,동사,작은 손놀림으로 자꾸 주물러 만지작거리다.,
38187,조바심-치다,동사,조바심을 몹시 나타내다.,
38188,조바심-하다,동사,조마조마하여 마음을 졸이다.,
38495,조-비비다,동사,"조가 마음대로 비벼지지 아니하여 조급하고 초조해진다는 뜻으로, 마음을 몹시 졸이거나 조바심을 냄을 이르는 말.",
38516,조뼛-거리다,동사,물건의 끝이 다 차차 가늘어지면서 뾰족뾰족하게 솟아나다. 또는 그렇게 되게 하다.,"비슷한말 조뼛-대다, 조뼛조뼛-하다"
38520,조뼛-대다,동사,물건의 끝이 다 차차 가늘어지면서 뾰족뾰족하게 솟아나다. 또는 그렇게 되게 하다.,비슷한말 조뼛-거리다
38532,조뼛조뼛-하다,동사,물건의 끝이 차차 다 가늘어지면서 뾰족뾰족하게 솟다. 또는 그렇게 되게 하다.,비슷한말 조뼛-거리다
38537,조뼛-하다,동사,물건의 끝이 차차 가늘어지면서 뾰족하게 솟다. 또는 그렇게 되게 하다.,
39759,조아리다,동사,상대편에게 존경의 뜻을 보이거나 애원하느라고 이마가 바닥에 닿을 정도로 머리를 자꾸 숙이다.,
39764,조아-팔다,동사,크거나 많은 물건을 한꺼번에 팔지 않고 헐어서 조금씩 팔다.,
39989,조여-들다,동사,안으로 바싹 죄어 오그라들다.,비슷한말 죄어-들다
40421,조이다,동사,느슨하거나 헐거운 것을 단단하거나 팽팽하게 하다. 또는 그렇게 되다.,비슷한말 죄다
40586,조작-거리다,동사,주책없이 잘난 체하며 자꾸 떠들다.,"비슷한말 조작-대다, 조작조작-하다
참고 어휘 주적-거리다"
