29558,든든-하다,형용사,어떤 것에 대한 믿음으로 마음이 허전하거나 두렵지 않고 굳세다.,참고 어휘 뜬뜬-하다
29605,든적-스럽다,형용사,하는 짓 따위가 치사하고 더러운 데가 있다.,
29616,든직-하다,형용사,사람됨이 경솔하지 않고 무게가 있다.,비슷한말 듬직-하다
29629,듣그럽다,형용사,소리가 듣기에 거슬리거나 듣기 싫다.,비슷한말 시끄럽다
30195,들먹다,형용사,못나고도 마음이 올바르지 못하다.,
30349,들부드레-하다,형용사,약간 들큼하다.,참고 어휘 달보드레-하다
30487,들썩-하다,형용사,붙어 있던 물건이 조금 떠들려 있다.,
30505,들쑥날쑥-하다,형용사,들어가기도 하고 나오기도 하여 가지런하지 아니하다.,비슷한말 들쭉날쭉-하다
30766,들음직-하다,형용사,흥미가 있어 들을 만하다.,
30937,들이-좋다,형용사,아주 또는 마냥 좋기만 하다.,
31020,들쩍지근-하다,형용사,약간 들큼한 맛이 있다.,"준말 들찌근-하다
참고 어휘 달짝지근-하다, 들척지근-하다"
31028,들쭉날쭉-하다,형용사,들어가기도 하고 나오기도 하여 가지런하지 아니하다.,비슷한말 들쑥날쑥-하다
31042,들-차다,형용사,뜻이 굳세고 몸이 튼튼하다.,
31137,들큼-하다,형용사,맛깔스럽지 아니하게 조금 달다.,
31235,듬뿍듬뿍-하다,형용사,여럿이 다 또는 몹시 넘칠 정도로 가득하거나 수북하다.,
31239,듬뿍-하다,형용사,넘칠 정도로 매우 가득하거나 수북하다.,
31247,듬성드뭇-하다,형용사,촘촘하지 아니하고 성기고 드물다.,
31249,듬성듬성-하다,형용사,매우 드물고 성기다.,
31250,듬성-하다,형용사,드물고 성기다.,
31265,듬쑥-하다,형용사,분량이나 수효가 매우 넉넉하다.,
31271,듬직-스럽다,형용사,듬직스러운 데가 있다.,
31275,듬직-하다,형용사,사람됨이 믿음성 있게 묵직하다.,비슷한말 든직-하다
33916,디그르르-하다,형용사,가늘거나 작은 물건들 가운데서 조금 드러나게 굵거나 크다.,
33937,디글디글-하다,형용사,가늘거나 작은 물건들 가운데서 몇 개가 드러나게 굵거나 크다.,
37756,딩딩-하다,형용사,살이 몹시 찌거나 붓거나 하여 아주 팽팽하다.,
37805,따갑다,형용사,살갗이 따끔거릴 만큼 열이 썩 높다.,참고 어휘 뜨겁다
37913,따끈따끈-하다,형용사,매우 따뜻하고 덥다.,
37915,따끈-하다,형용사,꽤 따뜻하고 더운 느낌이 있다.,참고 어휘 뜨끈-하다
37934,따끔따끔-하다,형용사,따가울 정도로 몹시 덥다.,
37941,따끔-하다,형용사,따가울 정도로 매우 덥다.,
38060,따들싹-하다,형용사,잘 덮이거나 가려지지 않아 밑이 조금 떠들려 있다.,참고 어휘 떠들썩-하다
38163,따뜻-하다,형용사,덥지 않을 정도로 온도가 알맞게 높다.,"비슷한말 온-하다(溫하다)
반대말 냉-하다(冷하다)
참고 어휘 따듯-하다, 뜨뜻-하다"
38440,따분-하다,형용사,재미가 없어 지루하고 답답하다.,
38658,딱딱-하다,형용사,몹시 굳고 단단하다.,
38799,딱-하다,형용사,사정이나 처지가 애처롭고 가엾다.,
38801,딱하디-딱하다,형용사,더할 나위 없이 딱하다.,
39592,땀지근-하다,형용사,말이나 행동이 좀 느리고 무게가 있다.,참고 어휘 뜸지근-하다
39595,땀직땀직-하다,형용사,말이나 행동이 한결같이 매우 속이 깊고 무게가 있다.,
39597,땀직-하다,형용사,말이나 행동이 속이 깊고 무게가 있다.,참고 어휘 뜸직-하다
39845,땅딸막-하다,형용사,키가 작고 몸집이 옆으로 딱 바라지다.,"비슷한말 땅딸-하다, 똥짤막-하다"
39848,땅딸-하다,형용사,키가 작고 몸집이 옆으로 딱 바라지다.,"비슷한말 땅딸막-하다, 똥짤막-하다"
40170,때군때군-하다,형용사,말소리 따위가 또렷또렷하고 세다.,
40302,때꾼때꾼-하다,형용사,눈들이 모두 쏙 들어가고 생기가 없다.,
40303,때꾼-하다,형용사,눈이 쏙 들어가고 생기가 없다.,"참고 어휘 대꾼-하다, 떼꾼-하다"
40348,때-늦다,형용사,정한 시간보다 늦다.,
40477,때-맞다,형용사,때가 늦지도 이르지도 않게 꼭 알맞다.,
40508,때-아니다,형용사,때에 어울리지 않거나 적당한 시기가 아니다.,
40736,땡그랗다,형용사,눈 따위가 퀭하고 똥그랗다.,참고 어휘 댕그랗다
40742,땡글땡글-하다,형용사,여럿이 다 누를 수 없을 정도로 굳고 단단하며 둥글둥글하다.,
41024,떠들썩-하다,형용사,잘 덮이거나 붙어 있지 않고 조금 틈이 벌어져 있다.,참고 어휘 따들싹-하다
41092,떠름-하다,형용사,맛이 조금 떫다.,
41229,떠지껄-하다,형용사,여럿이 큰 소리로 지껄여 떠들썩하다.,
41765,떨떠름-하다,형용사,조금 떫은 맛이 있다.,
